1;0.00114586;0.04
2;0.000585288;0.056
3;0.000402587;0.088
4;0.000327833;0.174
5;0.000269352;0.216
6;0.000235733;0.254
7;0.000216883;0.344
8;0.000183528;0.31
9;0.00017533;0.396
10;0.000169548;0.464
11;0.000153925;0.454
12;0.000162715;0.648
13;0.000153418;0.648
14;0.000143928;0.688
15;0.000143214;0.784
16;0.000145185;0.904
17;0.0001436;0.928
18;0.000138464;0.98
19;0.000142651;1.114
20;0.000143108;1.202
21;0.000151953;1.396
22;0.000159685;1.526
23;0.000145797;1.508
24;0.000142429;1.492
25;0.000155285;1.722
26;0.000166156;1.978
27;0.000160133;1.964
28;0.000173748;2.208
29;0.000188992;2.456
30;0.000187947;2.478
31;0.000192981;2.724
32;0.000190531;2.76
33;0.000205518;3.052
34;0.000222519;3.334
35;0.000222304;3.434
36;0.000256427;4.082
37;0.000258283;4.062
38;0.000283944;4.516
39;0.000307097;4.932
40;0.000353039;5.576
41;0.00035653;5.712
42;0.000363593;6.056
43;0.00044663;7.332
44;0.000483132;7.522
45;0.000585733;8.7
46;0.000717307;10.748
47;0.000767721;10.994
48;0.000898475;12.94
49;0.00108973;14.342
50;0.00128854;16.376
51;0.00170176;20.232
52;0.00204821;22.524
53;0.00303814;30.594
54;0.00485227;40.836
55;0.00684633;50.298
56;0.0122252;73.082
57;0.0266397;114.056
58;0.0797989;221.748
59;0.216267;358.606
60;0.456626;486.02
61;0.679822;468.416
62;0.759815;405.344
63;0.84058;376.182
64;0.88959;355.078
65;0.901563;335.472
66;0.909517;320.51
67;0.939081;319.916
68;0.94212;311.088
69;0.943596;304.134
70;0.963464;306.258
71;0.968881;303.976
72;0.977635;303.686
73;0.983909;302.99
74;0.981811;301.058
75;0.983297;300.364
76;0.986571;300.582
77;0.98962;300.616
78;0.994439;301.336
79;0.997151;301.828
80;0.993751;300.198
81;0.996189;300.718
82;0.996575;300.336
83;0.99691;300.28
84;0.99715;300.244
85;0.999358;300.564
86;0.999522;300.53
87;0.999646;300.454
88;0.999748;300.318
89;0.999818;300.26
90;0.999879;300.188
91;0.99992;300.15
92;0.999949;300.104
93;0.999969;300.058
94;0.999983;300.064
95;0.999992;300.044
96;0.999996;300.018
97;0.999999;300.03
98;1;300.002
99;1;300
